Effective date ,Dow Jones U.S. Oil & Gas Index
10/31/2011,591.87
11/1/2011,573.83
11/2/2011,590.38
11/3/2011,604.15
11/4/2011,604.04
11/5/2011,604.04
11/6/2011,604.04
11/7/2011,608.25
11/8/2011,616.1
11/9/2011,589.63
11/10/2011,600.09
11/11/2011,611.27
11/12/2011,611.27
11/13/2011,611.27
11/14/2011,604.15
11/15/2011,603.59
11/16/2011,595.55
11/17/2011,582.33
11/18/2011,579.32
11/19/2011,579.32
11/20/2011,579.32
11/21/2011,568.97
11/22/2011,563.67
11/23/2011,546.97
11/24/2011,546.97
11/25/2011,542.45
11/26/2011,542.45
11/27/2011,542.45
11/28/2011,562.5
11/29/2011,570.43
11/30/2011,601.43
12/1/2011,597.75
12/2/2011,597.46
12/3/2011,597.46
12/4/2011,597.46
12/5/2011,604.85
12/6/2011,605.35
12/7/2011,600.86
12/8/2011,585.03
12/9/2011,598.2
12/10/2011,598.2
12/11/2011,598.2
12/12/2011,583.69
12/13/2011,579.78
12/14/2011,562.67
12/15/2011,561.33
12/16/2011,567.5
12/17/2011,567.5
12/18/2011,567.5
12/19/2011,557.52
12/20/2011,580.15
12/21/2011,586.73
12/22/2011,593.51
12/23/2011,598.13
12/24/2011,598.13
12/25/2011,598.13
12/26/2011,598.13
12/27/2011,599.23
12/28/2011,587.58
12/29/2011,594.68
12/30/2011,593.75
12/31/2011,593.75
1/1/2012,593.75
1/2/2012,593.75
1/3/2012,609.73
1/4/2012,610.82
1/5/2012,607.51
1/6/2012,604.32
1/7/2012,604.32
1/8/2012,604.32
1/9/2012,607.58
1/10/2012,612.82
1/11/2012,604.47
1/12/2012,598.99
1/13/2012,596.44
1/14/2012,596.44
1/15/2012,596.44
1/16/2012,596.44
1/17/2012,601.16
1/18/2012,611.01
1/19/2012,613.23
1/20/2012,613.14
1/21/2012,613.14
1/22/2012,613.14
1/23/2012,617.4
1/24/2012,616.04
1/25/2012,623.55
1/26/2012,614.25
1/27/2012,612.59
1/28/2012,612.59
1/29/2012,612.59
1/30/2012,609.68
1/31/2012,605.12
2/1/2012,608.06
2/2/2012,610.96
2/3/2012,622.01
2/4/2012,622.01
2/5/2012,622.01
2/6/2012,629.32
2/7/2012,632.81
2/8/2012,630.17
2/9/2012,629.92
2/10/2012,623.7
2/11/2012,623.7
2/12/2012,623.7
2/13/2012,628.84
2/14/2012,630.41
2/15/2012,628.81
2/16/2012,637.31
2/17/2012,639.39
2/18/2012,639.39
2/19/2012,639.39
2/20/2012,639.39
2/21/2012,643.47
2/22/2012,645.1
2/23/2012,648.89
2/24/2012,651.16
2/25/2012,651.16
2/26/2012,651.16
2/27/2012,649.29
2/28/2012,647.98
2/29/2012,640.81
3/1/2012,647.51
3/2/2012,640.56
3/3/2012,640.56
3/4/2012,640.56
3/5/2012,637.89
3/6/2012,626.96
3/7/2012,631.49
3/8/2012,635.58
3/9/2012,634.98
3/10/2012,634.98
3/11/2012,634.98
3/12/2012,631.9
3/13/2012,640.34
3/14/2012,633.76
3/15/2012,635.06
3/16/2012,643.26
3/17/2012,643.26
3/18/2012,643.26
3/19/2012,646.69
3/20/2012,636.78
3/21/2012,630.36
3/22/2012,616.82
3/23/2012,623.57
3/24/2012,623.57
3/25/2012,623.57
3/26/2012,629.25
3/27/2012,622.43
3/28/2012,614.41
3/29/2012,614.31
3/30/2012,619.17
3/31/2012,619.17
4/1/2012,619.17
4/2/2012,624.92
4/3/2012,619.45
4/4/2012,610.89
4/5/2012,607.48
4/6/2012,607.48
4/7/2012,607.48
4/8/2012,607.48
4/9/2012,599.66
4/10/2012,587.59
4/11/2012,587.51
4/12/2012,600.23
4/13/2012,590.21
4/14/2012,590.21
4/15/2012,590.21
4/16/2012,587.57
4/17/2012,597.91
4/18/2012,596.59
4/19/2012,595.13
4/20/2012,594.36
4/21/2012,594.36
4/22/2012,594.36
4/23/2012,593.62
4/24/2012,597.9
4/25/2012,604.23
4/26/2012,609.21
4/27/2012,609.05
4/28/2012,609.05
4/29/2012,609.05
4/30/2012,611.85
5/1/2012,619.83
5/2/2012,609.98
5/3/2012,600.25
5/4/2012,586.96
5/5/2012,586.96
5/6/2012,586.96
5/7/2012,585.6
5/8/2012,583.28
5/9/2012,579.22
5/10/2012,581.3
5/11/2012,577.09
5/12/2012,577.09
5/13/2012,577.09
5/14/2012,567.92
5/15/2012,559.19
5/16/2012,556.75
5/17/2012,552.57
5/18/2012,548.64
5/19/2012,548.64
5/20/2012,548.64
5/21/2012,561.48
5/22/2012,559.13
5/23/2012,561.55
5/24/2012,560.4
5/25/2012,558.87
5/26/2012,558.87
5/27/2012,558.87
5/28/2012,558.87
5/29/2012,566.87
5/30/2012,549.26
5/31/2012,544.34
6/1/2012,531.61
6/2/2012,531.61
6/3/2012,531.61
6/4/2012,531.11
6/5/2012,535.22
6/6/2012,552.26
6/7/2012,552.94
6/8/2012,552.88
6/9/2012,552.88
6/10/2012,552.88
6/11/2012,545.83
6/12/2012,553.44
6/13/2012,546.75
6/14/2012,555.86
6/15/2012,566.07
6/16/2012,566.07
6/17/2012,566.07
6/18/2012,560.93
6/19/2012,569.44
6/20/2012,567.33
6/21/2012,543.38
6/22/2012,546.1
6/23/2012,546.1
6/24/2012,546.1
6/25/2012,535.51
6/26/2012,541.52
6/27/2012,552.05
6/28/2012,555.18
6/29/2012,573.33
6/30/2012,573.33
7/1/2012,573.33
7/2/2012,573.21
7/3/2012,586.66
7/4/2012,586.66
7/5/2012,578.33
7/6/2012,571.81
7/7/2012,571.81
7/8/2012,571.81
7/9/2012,569.09
7/10/2012,560.52
7/11/2012,568.32
7/12/2012,565.76
7/13/2012,575.77
7/14/2012,575.77
