"","symbol","date","open","high","low","close","volume","adjusted"
"1","COP",2011-01-03,52.42495,52.455441,51.837959,52.02092,9715453,35.505424
"2","COP",2011-01-04,52.302979,52.302979,51.151871,51.746483,12526218,35.318104
"3","COP",2011-01-05,51.563522,51.67025,51.273842,51.494915,12431540,35.146393
"4","COP",2011-01-06,51.609264,51.685497,50.854565,51.052769,10521027,34.844627
"5","COP",2011-01-07,51.167114,51.479668,50.778332,51.159492,7746678,34.917458
"6","COP",2011-01-10,50.869808,51.151871,50.694477,50.984158,6276033,34.797798
"7","COP",2011-01-11,51.510162,52.02092,51.380566,51.967556,9711163,35.469002
"8","COP",2011-01-12,52.318226,52.592659,52.059032,52.363964,6918420,35.739544
"9","COP",2011-01-13,52.120022,52.363964,51.037521,51.273842,14240194,34.995514
"10","COP",2011-01-14,51.289089,51.708366,50.907925,51.624512,9689773,35.234859
"11","COP",2011-01-18,51.776974,52.097149,51.540653,51.90657,7984168,35.427364
"12","COP",2011-01-19,52.051411,52.059032,51.266216,51.662624,7305675,35.260876
"13","COP",2011-01-20,51.456799,51.517784,50.709721,51.235725,11589552,34.969498
"14","COP",2011-01-21,51.746483,51.81509,51.090885,51.57877,12136517,35.203629
"15","COP",2011-01-24,51.655003,52.028542,51.31958,51.914192,12675672,35.432575
"16","COP",2011-01-25,51.81509,51.914192,50.820259,51.441551,11137431,35.109978
"17","COP",2011-01-26,51.868454,53.217766,51.517784,52.790863,14982343,36.030918
"18","COP",2011-01-27,52.912834,53.149155,52.463066,52.897591,13334662,36.103756
"19","COP",2011-01-28,53.149155,54.589947,53.103416,53.789509,23742821,36.712498
"20","COP",2011-01-31,54.346004,54.689049,53.743767,54.475597,20863526,37.180779
"21","COP",2011-02-01,54.597569,54.894875,54.517525,54.66618,15257696,37.310852
"22","COP",2011-02-02,54.612816,55.382763,54.429859,54.971107,9492121,37.518974
"23","COP",2011-02-03,54.986355,54.986355,54.22403,54.910122,13149589,37.477348
"24","COP",2011-02-04,54.902496,55.077831,54.346004,54.635685,13540816,37.290039
"25","COP",2011-02-07,54.66618,55.30653,54.66618,55.108326,12774558,37.612633
"26","COP",2011-02-08,55.077831,55.146442,54.612816,54.887253,6220236,37.461742
"27","COP",2011-02-09,54.673801,54.696671,53.644665,53.865738,11847659,36.764538
"28","COP",2011-02-10,53.438839,53.70565,53.21014,53.423592,14924556,36.462761
"29","COP",2011-02-11,53.263504,55.222675,53.172024,54.567078,15899491,37.243214
"30","COP",2011-02-14,54.856758,56.366158,54.833889,56.236565,10643874,38.382675
"31","COP",2011-02-15,56.160332,56.366158,55.71056,56.030735,9084219,38.242188
"32","COP",2011-02-16,56.472885,57.19709,56.389027,57.136105,10405160,38.996628
"33","COP",2011-02-17,56.808308,57.928921,56.632973,57.570629,11677640,39.752419
"34","COP",2011-02-18,57.89843,58.485416,57.334309,58.409184,11202226,40.331417
"35","COP",2011-02-22,59.163883,60.025311,57.776455,58.401562,15975819,40.326157
"36","COP",2011-02-23,58.653126,60.680904,58.599766,59.895714,18602526,41.357872
"37","COP",2011-02-24,60.154903,60.406471,58.325329,58.912315,17270033,40.678837
"38","COP",2011-02-25,58.935188,59.224869,58.534206,58.912315,10532011,40.678837
"39","COP",2011-02-28,58.912315,59.720303,58.775101,59.362087,10523672,40.98941
"40","COP",2011-03-01,59.689888,60.299744,59.125767,59.331596,13531927,40.968349
"41","COP",2011-03-02,59.118145,60.147282,59.019043,59.651772,11535457,41.189438
"42","COP",2011-03-03,59.84235,60.840996,59.766117,60.642792,11488069,41.87373
"43","COP",2011-03-04,60.703777,61.687172,60.414093,60.970589,12048948,42.100079
"44","COP",2011-03-07,61.458477,61.748158,60.307369,60.375977,10347963,41.689487
"45","COP",2011-03-08,60.10154,60.154903,58.813213,59.705132,11733071,41.226265
"46","COP",2011-03-09,59.598408,60.132034,59.270611,59.491684,8326760,41.078888
"47","COP",2011-03-10,58.691242,58.79797,56.945522,57.31144,15923244,39.573437
"48","COP",2011-03-11,56.221317,58.645504,56.038361,58.165241,9563189,40.162987
"49","COP",2011-03-14,57.555382,57.997532,57.205475,57.814571,14879855,39.920845
"50","COP",2011-03-15,55.253166,57.593498,54.22403,57.158974,16729836,39.468163
"51","COP",2011-03-16,57.250454,57.517265,55.56572,56.213696,16073096,38.815445
"52","COP",2011-03-17,57.219959,58.927563,56.823551,58.485416,13851903,40.38406
"53","COP",2011-03-18,59.362087,59.910961,57.433411,57.441032,21508495,39.662918
"54","COP",2011-03-21,58.820839,59.43832,58.4473,59.118145,16235721,40.820969
"55","COP",2011-03-22,59.270611,59.331596,58.698868,58.866577,11127301,40.647247
"56","COP",2011-03-23,58.599766,60.170151,58.546402,59.872845,12372022,41.342083
"57","COP",2011-03-24,60.269253,61.023952,60.10154,60.757137,12072748,41.952667
