"","symbol","date","price"
"1","TB3MS",2011-01-01,0.15
"2","TB3MS",2011-02-01,0.13
"3","TB3MS",2011-03-01,0.1
"4","TB3MS",2011-04-01,0.06
"5","TB3MS",2011-05-01,0.04
"6","TB3MS",2011-06-01,0.04
"7","TB3MS",2011-07-01,0.04
"8","TB3MS",2011-08-01,0.02
"9","TB3MS",2011-09-01,0.01
"10","TB3MS",2011-10-01,0.02
"11","TB3MS",2011-11-01,0.01
"12","TB3MS",2011-12-01,0.01
"13","TB3MS",2012-01-01,0.03
"14","TB3MS",2012-02-01,0.09
"15","TB3MS",2012-03-01,0.08
"16","TB3MS",2012-04-01,0.08
"17","TB3MS",2012-05-01,0.09
"18","TB3MS",2012-06-01,0.09
"19","TB3MS",2012-07-01,0.1
"20","TB3MS",2012-08-01,0.1
"21","TB3MS",2012-09-01,0.11
"22","TB3MS",2012-10-01,0.1
"23","TB3MS",2012-11-01,0.09
"24","TB3MS",2012-12-01,0.07
"25","TB3MS",2013-01-01,0.07
"26","TB3MS",2013-02-01,0.1
"27","TB3MS",2013-03-01,0.09
"28","TB3MS",2013-04-01,0.06
"29","TB3MS",2013-05-01,0.04
"30","TB3MS",2013-06-01,0.05
"31","TB3MS",2013-07-01,0.04
"32","TB3MS",2013-08-01,0.04
"33","TB3MS",2013-09-01,0.02
"34","TB3MS",2013-10-01,0.05
"35","TB3MS",2013-11-01,0.07
"36","TB3MS",2013-12-01,0.07
"37","TB3MS",2014-01-01,0.04
"38","TB3MS",2014-02-01,0.05
"39","TB3MS",2014-03-01,0.05
"40","TB3MS",2014-04-01,0.03
"41","TB3MS",2014-05-01,0.03
"42","TB3MS",2014-06-01,0.04
"43","TB3MS",2014-07-01,0.03
"44","TB3MS",2014-08-01,0.03
"45","TB3MS",2014-09-01,0.02
"46","TB3MS",2014-10-01,0.02
"47","TB3MS",2014-11-01,0.02
"48","TB3MS",2014-12-01,0.03
"49","TB3MS",2015-01-01,0.03
"50","TB3MS",2015-02-01,0.02
"51","TB3MS",2015-03-01,0.03
"52","TB3MS",2015-04-01,0.02
"53","TB3MS",2015-05-01,0.02
"54","TB3MS",2015-06-01,0.02
"55","TB3MS",2015-07-01,0.03
"56","TB3MS",2015-08-01,0.07
"57","TB3MS",2015-09-01,0.02
"58","TB3MS",2015-10-01,0.02
"59","TB3MS",2015-11-01,0.12
"60","TB3MS",2015-12-01,0.23
"61","TB3MS",2016-01-01,0.26
"62","TB3MS",2016-02-01,0.31
"63","TB3MS",2016-03-01,0.29
"64","TB3MS",2016-04-01,0.23
"65","TB3MS",2016-05-01,0.27
"66","TB3MS",2016-06-01,0.27
"67","TB3MS",2016-07-01,0.3
"68","TB3MS",2016-08-01,0.3
"69","TB3MS",2016-09-01,0.29
"70","TB3MS",2016-10-01,0.33
"71","TB3MS",2016-11-01,0.45
"72","TB3MS",2016-12-01,0.51
"73","TB3MS",2017-01-01,0.51
"74","TB3MS",2017-02-01,0.52
"75","TB3MS",2017-03-01,0.74
"76","TB3MS",2017-04-01,0.8
"77","TB3MS",2017-05-01,0.89
"78","TB3MS",2017-06-01,0.98
"79","TB3MS",2017-07-01,1.07
"80","TB3MS",2017-08-01,1.01
"81","TB3MS",2017-09-01,1.03
"82","TB3MS",2017-10-01,1.07
"83","TB3MS",2017-11-01,1.23
"84","TB3MS",2017-12-01,1.32
"85","TB3MS",2018-01-01,1.41
"86","TB3MS",2018-02-01,1.57
"87","TB3MS",2018-03-01,1.7
"88","TB3MS",2018-04-01,1.76
"89","TB3MS",2018-05-01,1.86
"90","TB3MS",2018-06-01,1.9
"91","TB3MS",2018-07-01,1.96
"92","TB3MS",2018-08-01,2.03
"93","TB3MS",2018-09-01,2.13
"94","TB3MS",2018-10-01,2.25
"95","TB3MS",2018-11-01,2.33
"96","TB3MS",2018-12-01,2.37
"97","TB3MS",2019-01-01,2.37
"98","TB3MS",2019-02-01,2.39
"99","TB3MS",2019-03-01,2.4
"100","TB3MS",2019-04-01,2.38
"101","TB3MS",2019-05-01,2.35
"102","TB3MS",2019-06-01,2.17
"103","TB3MS",2019-07-01,2.1
"104","TB3MS",2019-08-01,1.95
"105","TB3MS",2019-09-01,1.89
"106","TB3MS",2019-10-01,1.65
"107","TB3MS",2019-11-01,1.54
"108","TB3MS",2019-12-01,1.54
"109","TB3MS",2020-01-01,1.52
"110","TB3MS",2020-02-01,1.52
"111","TB3MS",2020-03-01,0.29
"112","TB3MS",2020-04-01,0.14
"113","TB3MS",2020-05-01,0.13
"114","TB3MS",2020-06-01,0.16
"115","TB3MS",2020-07-01,0.13
"116","TB3MS",2020-08-01,0.1
"117","TB3MS",2020-09-01,0.11
"118","TB3MS",2020-10-01,0.1
"119","TB3MS",2020-11-01,0.09
"120","TB3MS",2020-12-01,0.09
