"","simfin_id","ticker","fiscal_period","fiscal_year","report_date","publish_date","restated_date","source","ttm","value_check","currency","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","notes_receivable_net","unbilled_revenues","inventories","raw_materials","work_in_process","finished_goods","other_inventory","other_short_term_assets","prepaid_expenses","derivative_hedging_assets_short_term","assets_held_for_sale","deferred_tax_assets_short_term","income_taxes_receivable","discontinued_operations_short_term","misc_short_term_assets","total_current_assets","property_plant_equipment_net","property_plant_equipment","accumulated_depreciation","long_term_investments_receivables","long_term_investments","long_term_marketable_securities","long_term_receivables","other_long_term_assets","intangible_assets","goodwill","other_intangible_assets","prepaid_expense","deferred_tax_assets_long_term","derivative_hedging_assets_long_term","prepaid_pension_costs","discontinued_operations_long_term","investments_in_affiliates","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","accrued_taxes","interest_dividends_payable","other_payables_accruals","short_term_debt","short_term_borrowings","short_term_capital_leases","current_portion_of_long_term_debt","other_short_term_liabilities","deferred_revenue_short_term","liabilities_from_derivatives_hedging_short_term","deferred_tax_liabilities_short_term","liabilities_from_discontinued_operations_short_term","misc_short_term_liabilities","total_current_liabilities","long_term_debt","long_term_borrowings","long_term_capital_leases","other_long_term_liabilities","accrued_liabilities","pension_liabilities","pensions","other_post_retirement_benefits","deferred_compensation","deferred_revenue_long_term","deferred_tax_liabilities_long_term","liabilities_from_derivatives_hedging_long_term","liabilities_from_discontinued_operations_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","preferred_equity","share_capital_additional_paid_in_capital","common_stock","additional_paid_in_capital","other_share_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","minority_interest","total_equity","total_liabilities_equity","time"
"1",378120,"COP","Q1",2015,2015-03-31,2015-05-05,2016-05-03,"http://www.sec.gov/Archives/edgar/data/1163165/000119312516574165/0001193125-16-574165-index.htm",FALSE,TRUE,"USD",2.664e+09,2.664e+09,NA,5.246e+09,NA,NA,NA,1.233e+09,NA,NA,NA,NA,1.697e+09,1.564e+09,NA,NA,NA,NA,NA,1.33e+08,1.084e+10,7.422e+10,NA,NA,2.3224e+10,NA,NA,NA,1.758e+09,NA,NA,NA,NA,NA,NA,NA,NA,7.5e+08,1.008e+09,9.9202e+10,1.10042e+11,7.614e+09,6.706e+09,8.64e+08,NA,4.4e+07,1.93e+08,NA,NA,NA,1.756e+09,NA,NA,NA,NA,1.756e+09,9.563e+09,2.2318e+10,NA,NA,2.9153e+10,NA,2.979e+09,NA,NA,NA,NA,1.4042e+10,NA,NA,1.2132e+10,5.1471e+10,6.1034e+10,NA,4.6154e+10,1.8e+07,NA,4.6136e+10,-3.678e+10,4.3867e+10,-4.589e+09,4.8652e+10,3.56e+08,4.9008e+10,1.10042e+11,"2015q1"
"2",378120,"COP","Q2",2015,2015-06-30,2015-08-04,2016-08-02,"http://www.sec.gov/Archives/edgar/data/1163165/000119312516667631/0001193125-16-667631-index.htm",FALSE,TRUE,"USD",3.813e+09,3.813e+09,NA,5.044e+09,NA,NA,NA,1.277e+09,NA,NA,NA,NA,1.81e+09,1.675e+09,NA,NA,NA,NA,NA,1.35e+08,1.1944e+10,7.4387e+10,NA,NA,2.3902e+10,NA,NA,NA,1.77e+09,NA,NA,NA,NA,NA,NA,NA,NA,7.5e+08,1.02e+09,1.00059e+11,1.12003e+11,6.749e+09,5.833e+09,8.8e+08,NA,3.6e+07,1.38e+08,NA,NA,NA,1.847e+09,NA,NA,NA,NA,1.847e+09,8.734e+09,2.4787e+10,NA,NA,2.9513e+10,NA,2.849e+09,NA,NA,NA,NA,1.4373e+10,NA,NA,1.2291e+10,5.43e+10,6.3034e+10,NA,4.6262e+10,1.8e+07,NA,4.6244e+10,-3.678e+10,4.2779e+10,-3.641e+09,4.862e+10,3.49e+08,4.8969e+10,1.12003e+11,"2015q2"
"3",378120,"COP","Q3",2015,2015-09-30,2015-11-03,2016-11-01,"http://www.sec.gov/Archives/edgar/data/1163165/000119312516754694/0001193125-16-754694-index.htm",FALSE,TRUE,"USD",2.413e+09,2.413e+09,NA,4.332e+09,NA,NA,NA,1.143e+09,NA,NA,NA,NA,1.776e+09,1.644e+09,NA,NA,NA,NA,NA,1.32e+08,9.664e+09,7.1828e+10,NA,NA,2.2806e+10,NA,NA,NA,1.651e+09,NA,NA,NA,NA,NA,NA,NA,NA,6.96e+08,9.55e+08,9.6285e+10,1.05949e+11,5.87e+09,5.173e+09,6.59e+08,NA,3.8e+07,1.75e+08,NA,NA,NA,2.242e+09,NA,NA,NA,NA,2.242e+09,8.287e+09,2.4716e+10,NA,NA,2.8391e+10,NA,2.864e+09,NA,NA,NA,NA,1.3317e+10,NA,NA,1.221e+10,5.3107e+10,6.1394e+10,NA,4.6329e+10,1.8e+07,NA,4.6311e+10,-3.678e+10,4.0786e+10,-6.125e+09,4.421e+10,3.45e+08,4.4555e+10,1.05949e+11,"2015q3"
"4",378120,"COP","Q4",2015,2015-12-31,2016-02-23,2018-02-20,"http://www.sec.gov/Archives/edgar/data/1163165/000119312518049729/0001193125-18-049729-index.htm",FALSE,TRUE,"USD",2.368e+09,2.368e+09,NA,4.314e+09,NA,NA,NA,1.124e+09,NA,NA,NA,NA,9.83e+08,7.83e+08,NA,NA,NA,NA,NA,2e+08,8.789e+09,6.6446e+10,NA,NA,2.049e+10,NA,NA,NA,1.759e+09,NA,NA,NA,NA,NA,NA,NA,NA,6.96e+08,1.063e+09,8.8695e+10,9.7484e+10,5.432e+09,4.895e+09,4.99e+08,NA,3.8e+07,1.427e+09,NA,NA,NA,2.397e+09,NA,NA,NA,NA,2.397e+09,9.256e+09,2.3453e+10,NA,NA,2.4693e+10,NA,2.286e+09,NA,NA,NA,NA,1.0999e+10,NA,NA,1.1408e+10,4.8146e+10,5.7402e+10,NA,4.6375e+10,1.8e+07,NA,4.6357e+10,-3.678e+10,3.6414e+10,-6.247e+09,3.9762e+10,3.2e+08,4.0082e+10,9.7484e+10,"2015q4"
"5",378120,"COP","Q1",2016,2016-03-31,2016-05-03,2017-05-04,"http://www.sec.gov/Archives/edgar/data/1163165/000119312517158717/0001193125-17-158717-index.htm",FALSE,TRUE,"USD",5.173e+09,4.866e+09,3.07e+08,3.753e+09,NA,NA,NA,1.072e+09,NA,NA,NA,NA,9.36e+08,7.35e+08,NA,NA,NA,NA,NA,2.01e+08,1.0934e+10,6.6e+10,NA,NA,2.1167e+10,NA,NA,NA,1.733e+09,NA,NA,NA,NA,NA,NA,NA,NA,6.39e+08,1.094e+09,8.89e+10,9.9834e+10,4.866e+09,4.088e+09,7.01e+08,NA,7.7e+07,2.079e+09,NA,NA,NA,1.88e+09,NA,NA,NA,NA,1.88e+09,8.825e+09,2.7376e+10,NA,NA,2.4226e+10,NA,2.493e+09,NA,NA,NA,NA,1.0332e+10,NA,NA,1.1401e+10,5.1602e+10,6.0427e+10,NA,4.6383e+10,1.8e+07,NA,4.6365e+10,-3.678e+10,3.4632e+10,-5.146e+09,3.9089e+10,3.18e+08,3.9407e+10,9.9834e+10,"2016q1"
"6",378120,"COP","Q2",2016,2016-06-30,2016-08-02,2017-08-01,"http://www.sec.gov/Archives/edgar/data/1163165/000119312517243345/0001193125-17-243345-index.htm",FALSE,TRUE,"USD",4.152e+09,2.863e+09,1.289e+09,3.144e+09,NA,NA,NA,1.15e+09,NA,NA,NA,NA,8.13e+08,6.41e+08,NA,NA,NA,NA,NA,1.72e+08,9.259e+09,6.3685e+10,NA,NA,2.1385e+10,NA,NA,NA,1.725e+09,NA,NA,NA,NA,NA,NA,NA,NA,6.39e+08,1.086e+09,8.6795e+10,9.6054e+10,4.372e+09,3.746e+09,5.54e+08,NA,7.2e+07,1.331e+09,NA,NA,NA,1.645e+09,NA,NA,NA,NA,1.645e+09,7.348e+09,2.7346e+10,NA,NA,2.3529e+10,NA,2.533e+09,NA,NA,NA,NA,9.655e+09,NA,NA,1.1341e+10,5.0875e+10,5.8223e+10,NA,4.6447e+10,1.8e+07,NA,4.6429e+10,-3.678e+10,3.3248e+10,-5.371e+09,3.7544e+10,2.87e+08,3.7831e+10,9.6054e+10,"2016q2"
"7",378120,"COP","Q3",2016,2016-09-30,2016-11-01,2016-11-01,"http://www.sec.gov/Archives/edgar/data/1163165/000119312516754694/0001193125-16-754694-index.htm",FALSE,TRUE,"USD",4.324e+09,4.09e+09,2.34e+08,3.163e+09,NA,NA,NA,1.108e+09,NA,NA,NA,NA,1.046e+09,8.89e+08,NA,NA,NA,NA,NA,1.57e+08,9.641e+09,6.1649e+10,NA,NA,2.1283e+10,NA,NA,NA,1.711e+09,NA,NA,NA,NA,NA,NA,NA,NA,5.81e+08,1.13e+09,8.4643e+10,9.4284e+10,4.145e+09,3.686e+09,3.94e+08,NA,6.5e+07,1.336e+09,NA,NA,NA,2.056e+09,NA,NA,NA,NA,2.056e+09,7.537e+09,2.7353e+10,NA,NA,2.2938e+10,NA,2.471e+09,NA,NA,NA,NA,9.034e+09,NA,NA,1.1433e+10,5.0291e+10,5.7828e+10,NA,4.6498e+10,1.8e+07,NA,4.648e+10,-3.678e+10,3.1896e+10,-5.444e+09,3.617e+10,2.86e+08,3.6456e+10,9.4284e+10,"2016q3"
"8",378120,"COP","Q4",2016,2016-12-31,2017-02-21,2019-02-19,"https://www.sec.gov/Archives/edgar/data/1163165/000119312519043841/0001193125-19-043841-index.htm",FALSE,TRUE,"USD",3.66e+09,3.61e+09,5e+07,3.249e+09,3.249e+09,NA,NA,1.018e+09,NA,NA,NA,NA,6.82e+08,5.17e+08,NA,NA,NA,NA,NA,1.65e+08,8.609e+09,5.8331e+10,NA,NA,2.1091e+10,NA,NA,NA,1.741e+09,NA,NA,NA,NA,NA,NA,NA,NA,5.81e+08,1.16e+09,8.1163e+10,8.9772e+10,4.137e+09,3.631e+09,4.84e+08,NA,2.2e+07,1.089e+09,NA,NA,NA,1.683e+09,NA,NA,NA,NA,1.683e+09,6.909e+09,2.6186e+10,NA,NA,2.1451e+10,NA,2.552e+09,NA,NA,NA,NA,8.949e+09,NA,NA,9.95e+09,4.7637e+10,5.4546e+10,NA,4.6525e+10,1.8e+07,NA,4.6507e+10,-3.6906e+10,3.1548e+10,-6.193e+09,3.4974e+10,2.52e+08,3.5226e+10,8.9772e+10,"2016q4"
"9",378120,"COP","Q1",2017,2017-03-31,2017-05-04,2018-05-01,"http://www.sec.gov/Archives/edgar/data/1163165/000119312518145507/0001193125-18-145507-index.htm",FALSE,TRUE,"USD",3.361e+09,3.109e+09,2.52e+08,3.105e+09,NA,NA,NA,1.097e+09,NA,NA,NA,NA,3.165e+09,2.911e+09,NA,NA,NA,NA,NA,2.54e+08,1.0728e+10,5.444e+10,NA,NA,2.1153e+10,NA,NA,NA,1.652e+09,NA,NA,NA,NA,NA,NA,NA,NA,5.22e+08,1.13e+09,7.7245e+10,8.7973e+10,4.287e+09,3.494e+09,7.56e+08,NA,3.7e+07,1.095e+09,NA,NA,NA,2.144e+09,NA,NA,NA,NA,2.144e+09,7.526e+09,2.534e+10,NA,NA,1.9506e+10,NA,2.534e+09,NA,NA,NA,NA,7.568e+09,NA,NA,9.404e+09,4.4846e+10,5.2372e+10,NA,4.6528e+10,1.8e+07,NA,4.651e+10,-3.7018e+10,3.1804e+10,-5.961e+09,3.5353e+10,2.48e+08,3.5601e+10,8.7973e+10,"2017q1"
"10",378120,"COP","Q2",2017,2017-06-30,2017-08-01,2018-08-01,"http://www.sec.gov/Archives/edgar/data/1163165/000119312518233667/0001193125-18-233667-index.htm",FALSE,TRUE,"USD",1.18e+10,7.534e+09,4.266e+09,3.02e+09,NA,NA,NA,1.019e+09,NA,NA,NA,NA,4.04e+09,3.897e+09,NA,NA,NA,NA,NA,1.43e+08,1.9879e+10,4.6846e+10,NA,NA,9.681e+09,NA,NA,NA,1.598e+09,NA,NA,NA,NA,NA,NA,NA,NA,5.22e+08,1.076e+09,5.8125e+10,7.8004e+10,4.225e+09,3.401e+09,7.91e+08,NA,3.3e+07,3.798e+09,NA,NA,NA,1.903e+09,NA,NA,NA,NA,1.903e+09,9.926e+09,1.967e+10,NA,NA,1.7909e+10,NA,2.499e+09,NA,NA,NA,NA,6.335e+09,NA,NA,9.075e+09,3.7579e+10,4.7505e+10,NA,4.6576e+10,1.8e+07,NA,4.6558e+10,-3.7981e+10,2.8033e+10,-6.342e+09,3.0286e+10,2.13e+08,3.0499e+10,7.8004e+10,"2017q2"
