"","symbol","date","open","high","low","close","volume","adjusted"
"1","APA",2020-01-02,25.700001,25.93,25.129999,25.360001,3395100,24.815491
"2","APA",2020-01-03,25.709999,26.139999,25.530001,25.690001,5940600,25.138405
"3","APA",2020-01-06,25.940001,25.98,25.17,25.639999,4471700,25.089476
"4","APA",2020-01-07,29.93,32.580002,29.5,32.509998,37002300,31.811972
"5","APA",2020-01-08,32.509998,33.209999,32.040001,32.73,13506200,32.027248
"6","APA",2020-01-09,32.610001,32.700001,31.549999,32.599998,7590100,31.900038
"7","APA",2020-01-10,32.349998,32.529999,32.040001,32.380001,4642300,31.684763
"8","APA",2020-01-13,32.5,32.599998,31.85,32.009998,4581400,31.322706
"9","APA",2020-01-14,32.139999,33.77,32.130001,33.59,6101800,32.868778
"10","APA",2020-01-15,33.23,33.689999,32.990002,33.540001,4440300,32.819859
"11","APA",2020-01-16,33.689999,33.709999,32.98,33.099998,4458100,32.389301
"12","APA",2020-01-17,33.080002,33.240002,32.57,32.669998,4551800,31.968533
"13","APA",2020-01-21,32.139999,32.740002,31.700001,31.74,5215900,31.298004
"14","APA",2020-01-22,31.290001,31.450001,30.85,30.870001,4710700,30.440119
"15","APA",2020-01-23,30.27,30.629999,29.870001,30.27,4816200,29.848475
"16","APA",2020-01-24,30,30.08,29.370001,29.98,3472100,29.562513
"17","APA",2020-01-27,29.08,29.49,28.620001,28.85,4242800,28.448248
"18","APA",2020-01-28,29.190001,29.27,28.540001,28.73,4140800,28.329922
"19","APA",2020-01-29,28.98,29.07,27.98,28.09,4514100,27.698833
"20","APA",2020-01-30,27.459999,28.25,27.370001,28.18,3922200,27.787579
"21","APA",2020-01-31,27.58,27.67,26.950001,27.440001,5312500,27.057888
"22","APA",2020-02-03,27.26,27.690001,27.1,27.559999,4021900,27.176212
"23","APA",2020-02-04,28.190001,28.549999,28.059999,28.139999,4419700,27.748137
"24","APA",2020-02-05,28.809999,29.440001,28.620001,28.9,5835200,28.497553
"25","APA",2020-02-06,28.950001,29.23,28.280001,28.940001,3738900,28.536995
"26","APA",2020-02-07,28.280001,28.58,27.99,28.110001,3167600,27.718554
"27","APA",2020-02-10,27.879999,28.02,27.459999,27.969999,3010300,27.580505
"28","APA",2020-02-11,28.58,28.809999,28.139999,28.17,2070400,27.777719
"29","APA",2020-02-12,28.93,29.030001,28.43,28.48,3219800,28.083401
"30","APA",2020-02-13,28.370001,28.51,27.83,27.92,3498200,27.531199
"31","APA",2020-02-14,28.049999,28.08,27.24,27.360001,4292300,26.978996
"32","APA",2020-02-18,27.049999,28.219999,26.950001,28.110001,2974600,27.718554
"33","APA",2020-02-19,28.4,28.68,27.969999,28.469999,2951100,28.07354
"34","APA",2020-02-20,28.59,29.209999,28.440001,28.58,2347000,28.182009
"35","APA",2020-02-21,28.139999,28.48,27.52,28.4,3148500,28.004517
"36","APA",2020-02-24,26.959999,27.030001,26.41,26.75,3025600,26.377493
"37","APA",2020-02-25,27.24,27.290001,25.34,25.5,4462000,25.144897
"38","APA",2020-02-26,25.5,25.860001,24.4,24.43,5515700,24.089802
"39","APA",2020-02-27,23.809999,26.959999,23.379999,25.07,8817000,24.720888
"40","APA",2020-02-28,24,25.52,23.83,24.92,10240400,24.572977
"41","APA",2020-03-02,25.49,25.889999,24.65,25.52,8987000,25.164619
"42","APA",2020-03-03,25.700001,26.57,24.75,24.99,7364300,24.642004
"43","APA",2020-03-04,25.360001,25.620001,24.530001,25.129999,4376200,24.780052
"44","APA",2020-03-05,24.43,25.209999,24.030001,24.34,5725500,24.001055
"45","APA",2020-03-06,23.42,23.51,20.219999,20.700001,10198100,20.411743
"46","APA",2020-03-09,13.42,13.7,9.32,9.55,28073200,9.417012
"47","APA",2020-03-10,11.37,11.5,9.4,10.79,22820600,10.639744
"48","APA",2020-03-11,10.1,10.11,7.95,8.25,19670000,8.135115
"49","APA",2020-03-12,6.93,8.3,6.6,7.76,19844700,7.651939
"50","APA",2020-03-13,8.5,8.59,6.95,8.07,24978800,7.957621
"51","APA",2020-03-16,6.73,6.92,5.45,5.46,18546800,5.383967
"52","APA",2020-03-17,5.69,5.71,4.4,4.46,19718000,4.397892
"53","APA",2020-03-18,4.16,4.75,3.8,4.44,16461800,4.378171
"54","APA",2020-03-19,4.55,5.4,4.07,4.95,14530000,4.881069
"55","APA",2020-03-20,5.16,5.47,4.65,4.83,17519800,4.76274
"56","APA",2020-03-23,4.81,4.9,4.3,4.31,14154700,4.249981
"57","APA",2020-03-24,4.81,5.84,4.68,5.58,16021900,5.502296
"58","APA",2020-03-25,6.13,6.67,5.31,5.89,19289700,5.807979
"59","APA",2020-03-26,5.94,6.6,5.61,5.76,18496800,5.679789
"60","APA",2020-03-27,5.38,5.4,4.76,4.86,18508800,4.792322
"61","APA",2020-03-30,4.76,4.77,4,4.11,26494600,4.052767
"62","APA",2020-03-31,4.41,4.58,4.11,4.18,31240200,4.121792
"63","APA",2020-04-01,4.04,4.16,3.86,4.02,22611200,3.96402
"64","APA",2020-04-02,4.75,5.3,4.31,4.69,53258000,4.62469
"65","APA",2020-04-03,5.44,5.63,4.56,5.38,51801400,5.305081
"66","APA",2020-04-06,5.2,6,5.13,5.87,28007900,5.788258
"67","APA",2020-04-07,6.6,7.24,6.36,6.52,39030500,6.429205
"68","APA",2020-04-08,6.83,7.62,6.72,7.58,35954800,7.474445
"69","APA",2020-04-09,9.11,10.07,7.13,8.2,92502300,8.085811
"70","APA",2020-04-13,8.79,8.99,8.03,8.38,35821100,8.263305
"71","APA",2020-04-14,8.2,8.31,7.62,8.08,26955200,7.967483
"72","APA",2020-04-15,7.12,8.07,7.08,7.94,24475600,7.829432
"73","APA",2020-04-16,7.96,7.98,7.38,7.49,13095000,7.385699
"74","APA",2020-04-17,7.45,8.5,7.42,8.49,26718200,8.371771
"75","APA",2020-04-20,7.64,8.85,7.51,8.48,26625900,8.36191
"76","APA",2020-04-21,8.19,8.81,8.06,8.57,22556500,8.475645
"77","APA",2020-04-22,9,9.62,8.84,9.42,26440900,9.316286
"78","APA",2020-04-23,9.82,10.97,9.8,10.5,38583000,10.384398
"79","APA",2020-04-24,11.12,11.45,10.16,10.69,39965400,10.572305
"80","APA",2020-04-27,10.2,10.8,9.75,10.5,25852700,10.384398
"81","APA",2020-04-28,10.85,10.95,10.21,10.67,19229600,10.552525
"82","APA",2020-04-29,11.32,13.15,11.13,13.05,35121000,12.906322
"83","APA",2020-04-30,13.35,14.05,12.18,13.08,39879500,12.93599
"84","APA",2020-05-01,12.42,12.76,11.11,11.28,24359500,11.155808
"85","APA",2020-05-04,10.72,12.07,10.5,12.06,18185500,11.927222
"86","APA",2020-05-05,12.99,13.18,11.63,11.78,26477400,11.650304
"87","APA",2020-05-06,11.81,12.14,11.31,11.61,20242500,11.482176
"88","APA",2020-05-07,11.44,12.38,11.35,11.88,19899300,11.749205
"89","APA",2020-05-08,12.25,12.54,12.05,12.45,19455300,12.312927
"90","APA",2020-05-11,12.25,12.44,11.81,12.03,14496300,11.897552
"91","APA",2020-05-12,12.2,12.39,11.76,11.79,14729200,11.660194
"92","APA",2020-05-13,11.68,11.68,10.5,10.73,17266900,10.611864
"93","APA",2020-05-14,10.33,11.04,9.67,10.36,20150300,10.245939
"94","APA",2020-05-15,10.22,10.92,10.11,10.61,18137500,10.493185
"95","APA",2020-05-18,11.6,12.23,11.47,11.92,22482800,11.788763
"96","APA",2020-05-19,11.89,12.08,11.32,11.36,14586400,11.234928
"97","APA",2020-05-20,11.67,12.1,11.64,11.95,15601100,11.818432
"98","APA",2020-05-21,12.01,12.35,11.77,12.05,18807400,11.917332
"99","APA",2020-05-22,12,12.2,11.65,12.17,10415800,12.036011
"100","APA",2020-05-26,12.7,12.93,12.32,12.71,15215100,12.570065
"101","APA",2020-05-27,12.97,13.01,11.93,12.58,16487000,12.441496
"102","APA",2020-05-28,12.63,12.67,11.75,11.87,14603500,11.739314
"103","APA",2020-05-29,11.69,11.69,10.71,10.79,47859300,10.671204
"104","APA",2020-06-01,10.76,11.79,10.45,11.73,24871300,11.600856
"105","APA",2020-06-02,11.93,12.25,11.77,12.23,14175600,12.095349
"106","APA",2020-06-03,12.49,12.73,12.02,12.53,16115900,12.392046
"107","APA",2020-06-04,12.43,13.1,12.26,13,16043500,12.856874
"108","APA",2020-06-05,14.34,16.6,14.33,16.07,36336800,15.893073
"109","APA",2020-06-08,17.65,17.870001,16.57,17.73,29519900,17.534796
"110","APA",2020-06-09,16.450001,16.9,15.6,16.530001,14750800,16.348005
"111","APA",2020-06-10,15.93,15.93,14.51,14.83,15456800,14.666724
"112","APA",2020-06-11,12.73,14.36,12.31,12.79,17749400,12.649184
"113","APA",2020-06-12,14.01,14.5,13.04,13.77,15513600,13.618395
"114","APA",2020-06-15,13.1,14.33,13.01,14.08,15620200,13.924982
"115","APA",2020-06-16,15.5,15.54,14.04,14.57,16001700,14.409587
"116","APA",2020-06-17,14.2,14.38,13.82,13.89,10889500,13.737074
"117","APA",2020-06-18,13.71,14.46,13.48,14.22,10042900,14.06344
"118","APA",2020-06-19,14.91,14.99,13.82,13.98,19446900,13.826082
"119","APA",2020-06-22,13.9,14.36,13.52,14.28,8855600,14.122779
"120","APA",2020-06-23,14.62,14.99,14.04,14.13,11418200,13.974431
"121","APA",2020-06-24,13.78,13.9,12.89,13.07,12338900,12.926101
