"","symbol","date","open","high","low","close","volume","adjusted"
"1","MRO",2020-01-02,13.69,13.75,13.55,13.68,10437700,13.346206
"2","MRO",2020-01-03,14.05,14.07,13.6,13.75,14858400,13.414497
"3","MRO",2020-01-06,13.84,14.01,13.74,13.96,12021000,13.619374
"4","MRO",2020-01-07,13.76,13.84,13.61,13.79,9554100,13.453522
"5","MRO",2020-01-08,13.8,13.82,13.02,13.28,15588600,12.955967
"6","MRO",2020-01-09,13.09,13.49,12.91,13.45,14048300,13.121819
"7","MRO",2020-01-10,13.39,13.39,13.12,13.18,11210300,12.858406
"8","MRO",2020-01-13,13.08,13.26,12.89,13.19,12674700,12.868161
"9","MRO",2020-01-14,13.21,13.33,13.08,13.28,11708500,12.955967
"10","MRO",2020-01-15,13.21,13.38,13.12,13.24,8458600,12.916942
"11","MRO",2020-01-16,13.34,13.47,13.27,13.34,9898800,13.014502
"12","MRO",2020-01-17,13.36,13.39,13.14,13.21,8375300,12.887672
"13","MRO",2020-01-21,13.14,13.18,12.84,12.85,12326600,12.536458
"14","MRO",2020-01-22,12.83,12.83,12.43,12.45,10680700,12.146218
"15","MRO",2020-01-23,12.25,12.38,11.96,12.22,10974700,11.92183
"16","MRO",2020-01-24,12.12,12.14,11.74,11.93,14343400,11.638907
"17","MRO",2020-01-27,11.63,11.79,11.57,11.69,16137400,11.404762
"18","MRO",2020-01-28,11.79,11.85,11.61,11.77,11955000,11.48281
"19","MRO",2020-01-29,11.87,11.99,11.74,11.75,14525700,11.463298
"20","MRO",2020-01-30,11.55,11.9,11.55,11.86,16276300,11.570615
"21","MRO",2020-01-31,11.65,11.73,11.36,11.37,21638300,11.09257
"22","MRO",2020-02-03,11.34,11.58,11.25,11.47,14591700,11.190131
"23","MRO",2020-02-04,11.76,11.97,11.7,11.77,15017400,11.48281
"24","MRO",2020-02-05,12,12.3,12,12.16,14443600,11.863294
"25","MRO",2020-02-06,12.22,12.25,11.91,11.92,11759900,11.62915
"26","MRO",2020-02-07,11.75,11.83,11.61,11.68,10401700,11.395007
"27","MRO",2020-02-10,11.56,11.61,11.29,11.38,12410000,11.102327
"28","MRO",2020-02-11,11.58,11.71,11.43,11.57,11352100,11.287689
"29","MRO",2020-02-12,11.85,11.97,11.46,11.61,23898500,11.326714
"30","MRO",2020-02-13,11.27,11.28,10.64,11.11,30411400,10.838914
"31","MRO",2020-02-14,11.13,11.19,10.59,10.64,19189500,10.380383
"32","MRO",2020-02-18,10.45,10.51,10.28,10.3,17992600,10.096124
"33","MRO",2020-02-19,10.35,10.52,10.15,10.47,17660400,10.262757
"34","MRO",2020-02-20,10.55,10.6,10.24,10.25,14551100,10.047112
"35","MRO",2020-02-21,10.15,10.22,9.97,10.11,18987900,9.909883
"36","MRO",2020-02-24,9.64,9.64,9.39,9.46,21076900,9.27275
"37","MRO",2020-02-25,9.5,9.51,8.81,8.92,27736200,8.743439
"38","MRO",2020-02-26,8.99,9,8.39,8.41,26970000,8.243534
"39","MRO",2020-02-27,8.01,8.44,7.81,7.93,35230800,7.773034
"40","MRO",2020-02-28,7.57,8.3,7.54,8.28,32547500,8.116107
"41","MRO",2020-03-02,8.45,8.45,7.93,8.34,23726100,8.174918
"42","MRO",2020-03-03,8.32,8.47,7.85,8.08,28467100,7.920065
"43","MRO",2020-03-04,8.23,8.31,7.94,8.11,19274400,7.949471
"44","MRO",2020-03-05,7.86,7.95,7.67,7.8,19893900,7.645608
"45","MRO",2020-03-06,7.45,7.58,6.78,6.83,31805300,6.694808
"46","MRO",2020-03-09,4.21,5,3.32,3.63,105292500,3.558148
"47","MRO",2020-03-10,4.85,4.87,3.52,4.4,103558800,4.312907
"48","MRO",2020-03-11,4.22,4.49,4,4.09,69880200,4.009043
"49","MRO",2020-03-12,3.78,4.2,3.65,3.98,51908800,3.90122
"50","MRO",2020-03-13,4.36,4.53,3.71,4.53,46499500,4.440334
"51","MRO",2020-03-16,3.81,4.51,3.8,4,40301300,3.920825
"52","MRO",2020-03-17,4.15,4.17,3.55,3.62,43146500,3.548346
"53","MRO",2020-03-18,3.5,3.66,3.2,3.45,37555200,3.381711
"54","MRO",2020-03-19,3.5,3.93,3.41,3.83,38897500,3.754189
"55","MRO",2020-03-20,4,4.04,3.42,3.56,48008100,3.489533
"56","MRO",2020-03-23,3.56,3.6,3.31,3.35,32313300,3.28369
"57","MRO",2020-03-24,3.69,3.71,3.46,3.61,45463000,3.538544
"58","MRO",2020-03-25,3.8,3.87,3.41,3.58,45456400,3.509138
"59","MRO",2020-03-26,3.73,4.06,3.6,3.88,49996700,3.8032
"60","MRO",2020-03-27,3.72,3.77,3.49,3.52,44091900,3.450325
"61","MRO",2020-03-30,3.49,3.5,3.15,3.24,51862500,3.175868
"62","MRO",2020-03-31,3.46,3.52,3.25,3.29,45654200,3.224878
"63","MRO",2020-04-01,3.22,3.29,3.02,3.12,52822600,3.058243
"64","MRO",2020-04-02,3.26,3.74,3.15,3.47,86465000,3.401315
"65","MRO",2020-04-03,3.73,3.8,3.33,3.65,69728200,3.577752
"66","MRO",2020-04-06,3.69,3.74,3.51,3.62,63813600,3.548346
"67","MRO",2020-04-07,3.89,4.15,3.6,3.68,76558200,3.607158
"68","MRO",2020-04-08,3.91,3.96,3.66,3.95,60575900,3.871814
"69","MRO",2020-04-09,4.35,4.55,3.82,4.12,100353200,4.038449
"70","MRO",2020-04-13,4.43,4.45,4.15,4.39,56835400,4.303104
"71","MRO",2020-04-14,4.35,4.36,4.1,4.25,45640900,4.165876
"72","MRO",2020-04-15,3.95,4.24,3.92,4.23,42160600,4.146271
"73","MRO",2020-04-16,4.22,4.22,3.88,3.89,40223100,3.813002
"74","MRO",2020-04-17,3.95,4.35,3.92,4.35,48008500,4.263897
"75","MRO",2020-04-20,4,4.37,3.98,4.21,50013400,4.126668
"76","MRO",2020-04-21,4.11,4.32,3.96,4.24,41721300,4.156074
"77","MRO",2020-04-22,4.4,4.61,4.4,4.53,38123400,4.440334
"78","MRO",2020-04-23,4.76,5,4.66,4.84,47762800,4.744198
"79","MRO",2020-04-24,5,5.15,4.75,4.93,52809400,4.832416
"80","MRO",2020-04-27,4.8,4.96,4.57,4.85,32910600,4.754
"81","MRO",2020-04-28,4.96,5.07,4.8,4.99,30201400,4.891228
"82","MRO",2020-04-29,5.19,5.88,5.18,5.85,49212900,5.734206
"83","MRO",2020-04-30,6.31,6.34,5.75,6.12,76939700,5.998861
"84","MRO",2020-05-01,5.89,6.03,5.46,5.5,37538000,5.391134
"85","MRO",2020-05-04,5.34,5.81,5.24,5.81,31074200,5.694997
"86","MRO",2020-05-05,6.2,6.25,5.5,5.53,51969900,5.42054
"87","MRO",2020-05-06,5.61,5.79,5.45,5.6,30066000,5.489154
"88","MRO",2020-05-07,5.62,5.81,5.35,5.51,41313100,5.400936
"89","MRO",2020-05-08,5.6,5.79,5.52,5.78,33674100,5.665591
"90","MRO",2020-05-11,5.7,5.84,5.61,5.75,29104500,5.636185
"91","MRO",2020-05-12,5.83,6.23,5.81,5.96,46900300,5.842029
"92","MRO",2020-05-13,5.9,5.93,5.36,5.56,67595800,5.449946
"93","MRO",2020-05-14,5.43,5.79,5.2,5.64,33303700,5.528362
"94","MRO",2020-05-15,5.62,5.78,5.57,5.61,35936000,5.498956
"95","MRO",2020-05-18,5.94,6.2,5.89,6.08,45369400,5.959653
"96","MRO",2020-05-19,6.03,6.05,5.79,5.82,34827500,5.7048
"97","MRO",2020-05-20,5.92,6.07,5.88,5.95,36032500,5.832226
"98","MRO",2020-05-21,6,6.11,5.86,5.94,30115800,5.822424
"99","MRO",2020-05-22,5.88,5.93,5.75,5.89,19179900,5.773414
"100","MRO",2020-05-26,6.07,6.12,5.93,6.03,28896700,5.910643
"101","MRO",2020-05-27,6.12,6.15,5.86,6.15,35656300,6.028268
"102","MRO",2020-05-28,6.11,6.11,5.7,5.7,46655700,5.587175
"103","MRO",2020-05-29,5.64,5.65,5.31,5.34,107519800,5.234301
"104","MRO",2020-06-01,5.34,5.69,5.25,5.69,44194400,5.577373
"105","MRO",2020-06-02,5.77,5.87,5.73,5.86,36405500,5.744008
"106","MRO",2020-06-03,5.97,6.01,5.84,5.95,33631200,5.832226
"107","MRO",2020-06-04,5.93,6.24,5.82,6.23,47124900,6.106684
"108","MRO",2020-06-05,6.86,7.45,6.79,7.32,65424600,7.175108
"109","MRO",2020-06-08,8.42,8.48,7.85,8.43,70676900,8.263138
"110","MRO",2020-06-09,7.95,8.02,7.5,7.66,48244400,7.508379
"111","MRO",2020-06-10,7.52,7.54,7.1,7.11,38036800,6.969265
"112","MRO",2020-06-11,6.31,6.79,6.19,6.26,42126100,6.13609
"113","MRO",2020-06-12,6.78,6.82,6.32,6.58,37745100,6.449756
"114","MRO",2020-06-15,6.22,6.7,6.12,6.6,30214800,6.469359
"115","MRO",2020-06-16,6.97,7,6.57,6.74,37950700,6.606589
"116","MRO",2020-06-17,6.71,6.71,6.36,6.37,32768600,6.243913
"117","MRO",2020-06-18,6.31,6.57,6.23,6.49,19947800,6.361537
"118","MRO",2020-06-19,6.7,6.7,6.27,6.36,44425600,6.234111
"119","MRO",2020-06-22,6.26,6.3,6.07,6.27,25006200,6.145892
"120","MRO",2020-06-23,6.4,6.44,6.26,6.33,24071900,6.204704
"121","MRO",2020-06-24,6.16,6.2,5.73,5.79,32388600,5.675394
"122","MRO",2020-06-25,5.65,5.99,5.55,5.98,25389200,5.861632
"123","MRO",2020-06-26,5.87,5.89,5.62,5.74,28808300,5.626383
"124","MRO",2020-06-29,5.79,5.99,5.66,5.96,24802800,5.842029
"125","MRO",2020-06-30,5.91,6.15,5.8,6.12,23412100,5.998861
"126","MRO",2020-07-01,6.17,6.23,5.89,5.95,24093800,5.832226
"127","MRO",2020-07-02,6.13,6.27,6,6.12,28868100,5.998861
"128","MRO",2020-07-06,6.22,6.22,5.71,5.86,36221900,5.744008
"129","MRO",2020-07-07,5.78,5.79,5.56,5.57,25392500,5.459748
"130","MRO",2020-07-08,5.6,5.72,5.47,5.67,24066200,5.557768
"131","MRO",2020-07-09,5.66,5.72,5.27,5.27,24227900,5.165686
"132","MRO",2020-07-10,5.21,5.41,5.12,5.35,32454200,5.244102
"133","MRO",2020-07-13,5.38,5.41,5.13,5.13,32414800,5.028458
"134","MRO",2020-07-14,5.09,5.4,4.97,5.37,32180900,5.263707
"135","MRO",2020-07-15,5.58,5.71,5.41,5.69,30837800,5.577373
"136","MRO",2020-07-16,5.57,5.86,5.48,5.72,20631000,5.606779
"137","MRO",2020-07-17,5.74,5.84,5.47,5.51,24759400,5.400936
"138","MRO",2020-07-20,5.5,5.62,5.41,5.49,20886500,5.381331
"139","MRO",2020-07-21,5.61,5.96,5.61,5.86,37223000,5.744008
"140","MRO",2020-07-22,5.79,5.83,5.6,5.79,23132000,5.675394
"141","MRO",2020-07-23,5.8,5.88,5.69,5.76,20648200,5.645987
"142","MRO",2020-07-24,5.76,5.92,5.7,5.72,18246800,5.606779
