"","symbol","date","open","high","low","close","volume","adjusted"
"1","PXD",2020-01-02,152.020004,153.149994,151.169998,152.339996,995700,142.638107
"2","PXD",2020-01-03,155,156.419998,152.889999,153.350006,1782100,143.583755
"3","PXD",2020-01-06,154.910004,159.009995,153.020004,158.110001,2126300,148.040604
"4","PXD",2020-01-07,157.550003,157.800003,155.649994,156.949997,1343700,146.954529
"5","PXD",2020-01-08,157.960007,158.889999,150.699997,152.080002,2125400,142.394653
"6","PXD",2020-01-09,152.089996,152.850006,149.550003,152.229996,1516200,142.535095
"7","PXD",2020-01-10,151.630005,151.729996,148.850006,149.399994,1976100,139.885345
"8","PXD",2020-01-13,149.289993,149.550003,146.470001,146.779999,2104800,137.43222
"9","PXD",2020-01-14,146.690002,148.110001,145.070007,146.779999,1583200,137.43222
"10","PXD",2020-01-15,146.039993,146.470001,144.050003,145.399994,1249000,136.140076
"11","PXD",2020-01-16,146.389999,149.309998,146.070007,146.990005,1419300,137.628815
"12","PXD",2020-01-17,147.830002,148.880005,146.880005,148.789993,1812800,139.314178
"13","PXD",2020-01-21,147.910004,149.539993,146.639999,147.350006,1273300,137.965897
"14","PXD",2020-01-22,146.75,146.830002,144.089996,144.630005,1519100,135.419113
"15","PXD",2020-01-23,143.089996,143.300003,140.080002,140.429993,1974800,131.486588
"16","PXD",2020-01-24,140.100006,142.259995,139.110001,142.029999,1266300,132.984726
"17","PXD",2020-01-27,138.369995,138.869995,134.970001,135.389999,1652100,126.767563
"18","PXD",2020-01-28,137.169998,141.830002,136.399994,140.970001,2173400,131.992218
"19","PXD",2020-01-29,141.779999,142.600006,138.839996,138.919998,1077200,130.072769
"20","PXD",2020-01-30,136.899994,139.479996,134.699997,137.529999,1663100,128.771286
"21","PXD",2020-01-31,135.029999,135.839996,133.5,135,1601200,126.402405
"22","PXD",2020-02-03,135.259995,136.089996,132.289993,132.570007,1335300,124.127174
"23","PXD",2020-02-04,135.850006,138.990005,134.960007,135.899994,2073400,127.245079
"24","PXD",2020-02-05,138.949997,142.970001,138.589996,142.190002,1402700,133.134521
"25","PXD",2020-02-06,142.820007,142.820007,139.940002,140.440002,918300,131.495956
"26","PXD",2020-02-07,138.75,139.309998,136.619995,137.820007,1041700,129.042801
"27","PXD",2020-02-10,136.759995,137.190002,135.479996,136.75,1193600,128.040939
"28","PXD",2020-02-11,139.380005,139.389999,135.839996,136.130005,1654000,127.460434
"29","PXD",2020-02-12,138.720001,139.860001,136.869995,137.610001,1170700,128.846191
"30","PXD",2020-02-13,136.520004,140.580002,136.119995,140.039993,1399000,131.121414
"31","PXD",2020-02-14,140.600006,141.009995,137.570007,139.229996,936500,130.363007
"32","PXD",2020-02-18,137,137.949997,133.789993,135.559998,1719300,126.926735
"33","PXD",2020-02-19,136.240005,142.009995,135.919998,141.169998,2390600,132.179459
"34","PXD",2020-02-20,144,147.240005,139.820007,142.529999,2394400,133.452835
"35","PXD",2020-02-21,141.089996,142.889999,139.490005,142.25,1403400,133.190704
"36","PXD",2020-02-24,135.690002,137.330002,133.880005,135.970001,1549700,127.310661
"37","PXD",2020-02-25,136.779999,137.199997,129.149994,130.089996,1835800,121.805107
"38","PXD",2020-02-26,130.789993,131.800003,125.349998,125.489998,2010200,117.498055
"39","PXD",2020-02-27,120.730003,127.57,117.300003,122.669998,2747500,114.857658
"40","PXD",2020-02-28,117.699997,122.889999,117.650002,122.779999,3469300,114.96064
"41","PXD",2020-03-02,124.459999,125.129997,119.269997,124.32,3385300,116.40258
"42","PXD",2020-03-03,124.970001,124.970001,118.150002,120.029999,2113600,112.385788
"43","PXD",2020-03-04,122.07,124.540001,120.239998,123.5,1788100,115.634811
"44","PXD",2020-03-05,119.019997,122.260002,116.870003,118.610001,1907900,111.056244
"45","PXD",2020-03-06,113.410004,114.440002,101.900002,105.120003,5181500,98.425339
"46","PXD",2020-03-09,72.860001,74.959999,64.529999,66.309998,7675200,62.086987
"47","PXD",2020-03-10,70.760002,80.190002,67.589996,79.860001,6753600,74.774055
"48","PXD",2020-03-11,76.18,77.470001,67.239998,70.239998,4409100,65.766716
"49","PXD",2020-03-12,63.919998,66.459999,58.810001,60.68,4695300,56.81554
"50","PXD",2020-03-13,66.199997,70.709999,60.919998,70.68,4543800,66.17868
"51","PXD",2020-03-16,59.48,68.790001,57.240002,59.720001,3588800,55.916683
"52","PXD",2020-03-17,59.82,61.959999,54.5,57.529999,4181200,53.866154
"53","PXD",2020-03-18,52.009998,57.990002,48.619999,56.77,4272600,53.154552
"54","PXD",2020-03-19,56.919998,63.5,55.099998,60.369999,4247900,56.525284
"55","PXD",2020-03-20,62.810001,68.559998,59.290001,61.759998,4374400,57.826759
"56","PXD",2020-03-23,61.689999,62.970001,57.200001,61.290001,3061900,57.386692
"57","PXD",2020-03-24,66.790001,73.580002,63.290001,72.620003,3901100,67.99514
"58","PXD",2020-03-25,72.129997,75.410004,67.379997,72.309998,2980000,67.704887
"59","PXD",2020-03-26,72.440002,74.75,71.389999,74.339996,2894500,69.605583
"60","PXD",2020-03-27,70.529999,72.93,67.760002,68.650002,2940200,64.277969
"61","PXD",2020-03-30,65.790001,67.349998,62.189999,66.489998,3132700,62.758324
"62","PXD",2020-03-31,69.099998,72.830002,67.559998,70.150002,2657500,66.212898
"63","PXD",2020-04-01,66.900002,68.970001,62.540001,67.769997,2571700,63.96648
"64","PXD",2020-04-02,71.190002,81.480003,70.410004,75.150002,4907200,70.932289
"65","PXD",2020-04-03,79,80,72.839996,74.68,4925400,70.488678
"66","PXD",2020-04-06,76.099998,76.800003,72.900002,76.239998,2280400,71.961113
"67","PXD",2020-04-07,81.290001,84.260002,74.790001,75.309998,2989300,71.083305
"68","PXD",2020-04-08,77.480003,81.610001,74.839996,80.290001,3283800,75.783806
"69","PXD",2020-04-09,83,84.120003,72.580002,75.480003,4751600,71.243782
"70","PXD",2020-04-13,79.029999,79.599998,75.400002,78.550003,2213200,74.141479
"71","PXD",2020-04-14,77.050003,80,76.489998,77.370003,2164400,73.027702
"72","PXD",2020-04-15,72.529999,76.480003,71.529999,74.919998,2066800,70.715202
"73","PXD",2020-04-16,73.879997,73.940002,69.989998,71.110001,3087300,67.119026
"74","PXD",2020-04-17,72.75,77.32,72.080002,76.629997,2814300,72.329224
"75","PXD",2020-04-20,71.379997,75.360001,69.769997,71.279999,3763800,67.279488
"76","PXD",2020-04-21,68.019997,74.279999,67,73.470001,3700600,69.346581
"77","PXD",2020-04-22,77.589996,80.739998,77.080002,80.660004,3360400,76.133049
"78","PXD",2020-04-23,83.330002,84.800003,78.639999,79.309998,3135100,74.858826
"79","PXD",2020-04-24,80.669998,80.669998,74.68,77.449997,2983400,73.103195
"80","PXD",2020-04-27,76.209999,82.959999,73.510002,81.860001,2612100,77.265701
"81","PXD",2020-04-28,83.760002,85.400002,81.260002,82.760002,1953600,78.115189
"82","PXD",2020-04-29,86.010002,90.129997,84.059998,89.800003,2497600,84.760071
"83","PXD",2020-04-30,91.220001,91.43,85.959999,89.309998,2632100,84.297569
"84","PXD",2020-05-01,86.639999,88.470001,81.699997,82.919998,1921900,78.266212
"85","PXD",2020-05-04,81.199997,83.150002,80.559998,83.059998,3474600,78.398361
"86","PXD",2020-05-05,88.040001,89.300003,82,82.480003,2040800,77.850914
"87","PXD",2020-05-06,82.949997,84.440002,80.900002,81.830002,1370900,77.237381
"88","PXD",2020-05-07,85.010002,91.419998,85.010002,87.019997,2296900,82.136093
"89","PXD",2020-05-08,89.019997,91.5,87.300003,89.989998,2615800,84.939407
"90","PXD",2020-05-11,88.220001,88.75,84.440002,84.440002,3805500,79.700905
"91","PXD",2020-05-12,84.5,86.559998,83.5,84.029999,5463000,79.313919
