"","simfin_id","ticker","fiscal_period","fiscal_year","report_date","publish_date","restated_date","source","ttm","value_check","currency","revenue","sales_services_revenue","financing_revenue","other_revenue","cost_of_revenue","cost_of_goods_services","cost_of_financing_revenue","cost_of_other_revenue","gross_profit","other_operating_income","operating_expenses","selling_general_administrative","selling_marketing","general_administrative","research_development","depreciation_amortization","provision_for_doubtful_accounts","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","interest_expense","interest_income","other_investment_income_loss","foreign_exchange_gain_loss","income_loss_from_affiliates","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","acquired_in_process_r_d","merger_acquisition_expense","abnormal_derivatives","disposal_of_assets","early_extinguishment_of_debt","asset_write_down","impairment_of_goodwill_intangibles","sale_of_business","legal_settlement","restructuring_charges","sale_of_investments_unrealized_investments","insurance_settlement","other_abnormal_items","pretax_income_loss","income_tax_expense_benefit_net","current_income_tax","deferred_income_tax","tax_allowance_credit","income_loss_from_affiliates_net_of_taxes","income_loss_from_continuing_operations","net_extraordinary_gains_losses","discontinued_operations","accounting_charges_other","income_loss_incl_minority_interest","minority_interest","net_income","preferred_dividends","other_adjustments","net_income_common","time"
"1",378120,"COP","Q1",2015,2015-03-31,2015-05-05,2016-05-03,"http://www.sec.gov/Archives/edgar/data/1163165/000119312516574165/0001193125-16-574165-index.htm",FALSE,TRUE,"USD",7.716e+09,NA,NA,NA,-3.237e+09,NA,NA,NA,4.479e+09,NA,-4.798e+09,-1.59e+08,NA,NA,-4.82e+08,-2.131e+09,NA,-2.026e+09,-3.19e+08,3.2e+07,-2.02e+08,NA,NA,NA,NA,2.05e+08,2.9e+07,-2.87e+08,-6.9e+07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.56e+08,6.42e+08,NA,NA,NA,NA,2.86e+08,NA,NA,NA,2.86e+08,-1.4e+07,2.72e+08,NA,NA,2.72e+08,"2015q1"
"2",378120,"COP","Q2",2015,2015-06-30,2015-08-04,2016-08-02,"http://www.sec.gov/Archives/edgar/data/1163165/000119312516667631/0001193125-16-667631-index.htm",FALSE,TRUE,"USD",8.293e+09,NA,NA,NA,-3.23e+09,NA,NA,NA,5.063e+09,NA,-5.119e+09,-2.18e+08,NA,NA,-5.49e+08,-2.329e+09,NA,-2.023e+09,-5.6e+07,1.05e+08,-2.1e+08,NA,NA,NA,NA,2.58e+08,5.7e+07,4.9e+07,-1.4e+08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-9.1e+07,-7.3e+07,NA,NA,NA,NA,-1.64e+08,NA,NA,NA,-1.64e+08,-1.5e+07,-1.79e+08,NA,NA,-1.79e+08,"2015q2"
"3",378120,"COP","Q3",2015,2015-09-30,2015-11-03,2016-11-01,"http://www.sec.gov/Archives/edgar/data/1163165/000119312516754694/0001193125-16-754694-index.htm",FALSE,TRUE,"USD",7.262e+09,NA,NA,NA,-3.269e+09,NA,NA,NA,3.993e+09,NA,-5.665e+09,-2.93e+08,NA,NA,-1.061e+09,-2.271e+09,NA,-2.04e+09,-1.672e+09,-1.3e+07,-2.4e+08,NA,NA,NA,NA,2.23e+08,4e+06,-1.685e+09,-5.6e+07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.741e+09,6.85e+08,NA,NA,NA,NA,-1.056e+09,NA,NA,NA,-1.056e+09,-1.5e+07,-1.071e+09,NA,NA,-1.071e+09,"2015q3"
"4",378120,"COP","Q4",2015,2015-12-31,2016-02-23,2018-02-20,"http://www.sec.gov/Archives/edgar/data/1163165/000119312518049729/0001193125-18-049729-index.htm",FALSE,TRUE,"USD",6.293e+09,NA,NA,NA,-2.69e+09,NA,NA,NA,3.603e+09,NA,-6.593e+09,-2.83e+08,NA,NA,-2.1e+09,-2.382e+09,NA,-1.828e+09,-2.99e+09,-2.64e+08,-2.68e+08,NA,NA,NA,NA,-3.1e+07,3.5e+07,-3.254e+09,-1.797e+09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-5.051e+09,1.614e+09,NA,NA,NA,NA,-3.437e+09,NA,NA,NA,-3.437e+09,-1.3e+07,-3.45e+09,NA,NA,-3.45e+09,"2015q4"
"5",378120,"COP","Q1",2016,2016-03-31,2016-05-03,2017-05-04,"http://www.sec.gov/Archives/edgar/data/1163165/000119312517158717/0001193125-17-158717-index.htm",FALSE,TRUE,"USD",5.121e+09,NA,NA,NA,-2.225e+09,NA,NA,NA,2.896e+09,NA,-4.472e+09,-1.86e+08,NA,NA,-5.05e+08,-2.247e+09,NA,-1.534e+09,-1.576e+09,-4.1e+08,-2.81e+08,NA,NA,NA,NA,-1.49e+08,2e+07,-1.986e+09,-2.38e+08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.224e+09,7.68e+08,NA,NA,NA,NA,-1.456e+09,NA,NA,NA,-1.456e+09,-1.3e+07,-1.469e+09,NA,NA,-1.469e+09,"2016q1"
"6",378120,"COP","Q2",2016,2016-06-30,2016-08-02,2017-08-01,"http://www.sec.gov/Archives/edgar/data/1163165/000119312517243345/0001193125-17-243345-index.htm",FALSE,TRUE,"USD",5.348e+09,NA,NA,NA,-2.002e+09,NA,NA,NA,3.346e+09,NA,-4.748e+09,-1.67e+08,NA,NA,-6.1e+08,-2.329e+09,NA,-1.642e+09,-1.402e+09,-2.13e+08,-3.12e+08,NA,NA,NA,NA,8e+07,1.9e+07,-1.615e+09,-2.9e+07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.644e+09,5.86e+08,NA,NA,NA,NA,-1.058e+09,NA,NA,NA,-1.058e+09,-1.3e+07,-1.071e+09,NA,NA,-1.071e+09,"2016q2"
"7",378120,"COP","Q3",2016,2016-09-30,2016-11-01,2016-11-01,"http://www.sec.gov/Archives/edgar/data/1163165/000119312516754694/0001193125-16-754694-index.htm",FALSE,TRUE,"USD",6.415e+09,NA,NA,NA,-2.819e+09,NA,NA,NA,3.596e+09,NA,-4.772e+09,-2.03e+08,NA,NA,-4.57e+08,-2.425e+09,NA,-1.687e+09,-1.176e+09,-2.85e+08,-3.35e+08,NA,NA,NA,NA,-6e+07,1.1e+08,-1.461e+09,-1.93e+08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.654e+09,6.28e+08,NA,NA,NA,NA,-1.026e+09,NA,NA,NA,-1.026e+09,-1.4e+07,-1.04e+09,NA,NA,-1.04e+09,"2016q3"
"8",378120,"COP","Q4",2016,2016-12-31,2017-02-21,2019-02-19,"https://www.sec.gov/Archives/edgar/data/1163165/000119312519043841/0001193125-19-043841-index.htm",FALSE,TRUE,"USD",6.809e+09,NA,NA,NA,-2.948e+09,NA,NA,NA,3.861e+09,NA,-3.837e+09,8.3e+07,NA,NA,-3.4e+08,-2.061e+09,NA,-1.519e+09,2.4e+07,-3e+07,-3.17e+08,NA,NA,NA,NA,1.81e+08,1.06e+08,-6e+06,-2e+06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-8e+06,-1.1e+07,NA,NA,NA,NA,-1.9e+07,NA,NA,NA,-1.9e+07,-1.6e+07,-3.5e+07,NA,NA,-3.5e+07,"2016q4"
"9",378120,"COP","Q1",2017,2017-03-31,2017-05-04,2018-05-01,"http://www.sec.gov/Archives/edgar/data/1163165/000119312518145507/0001193125-18-145507-index.htm",FALSE,TRUE,"USD",7.518e+09,NA,NA,NA,-3.192e+09,NA,NA,NA,4.326e+09,NA,-4.148e+09,-9.7e+07,NA,NA,-5.5e+08,-1.979e+09,NA,-1.522e+09,1.78e+08,-8.4e+07,-3.15e+08,NA,NA,NA,NA,2e+08,3.1e+07,9.4e+07,-3.26e+08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.32e+08,8.31e+08,NA,NA,NA,NA,5.99e+08,NA,NA,NA,5.99e+08,-1.3e+07,5.86e+08,NA,NA,5.86e+08,"2017q1"
"10",378120,"COP","Q2",2017,2017-06-30,2017-08-01,2018-08-01,"http://www.sec.gov/Archives/edgar/data/1163165/000119312518233667/0001193125-18-233667-index.htm",FALSE,TRUE,"USD",6.781e+09,NA,NA,NA,-2.922e+09,NA,NA,NA,3.859e+09,NA,-3.34e+09,-9.5e+07,NA,NA,-9.7e+07,-1.625e+09,NA,-1.523e+09,5.19e+08,-8.1e+07,-3.06e+08,NA,NA,NA,NA,1.78e+08,4.7e+07,4.38e+08,-4.799e+09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-4.361e+09,9.35e+08,NA,NA,NA,NA,-3.426e+09,NA,NA,NA,-3.426e+09,-1.4e+07,-3.44e+09,NA,NA,-3.44e+09,"2017q2"
