"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 05, 2021","442.00","435.83","443.87","435.83","170.35M","1.42%"
"Nov 04, 2021","435.83","434.99","442.53","432.17","199.31M","0.19%"
"Nov 03, 2021","434.99","438.65","439.41","432.07","184.83M","-0.83%"
"Nov 02, 2021","438.65","443.11","443.85","437.56","161.60M","-1.01%"
"Nov 01, 2021","443.11","436.19","444.40","436.19","180.21M","1.59%"
"Oct 29, 2021","436.19","439.12","442.04","434.55","181.54M","-0.67%"
"Oct 28, 2021","439.12","436.10","439.54","434.43","139.55M","0.69%"
"Oct 27, 2021","436.10","448.94","448.94","435.19","190.91M","-2.86%"
"Oct 26, 2021","448.94","445.91","450.83","445.91","160.40M","0.68%"
"Oct 25, 2021","445.91","439.56","448.63","439.56","177.93M","1.44%"
"Oct 22, 2021","439.56","435.50","440.04","433.27","160.55M","0.93%"
"Oct 21, 2021","435.50","443.53","443.53","432.10","204.82M","-1.81%"
"Oct 20, 2021","443.53","439.87","443.62","435.16","173.73M","0.83%"
"Oct 19, 2021","439.87","434.89","441.40","434.47","175.70M","1.15%"
"Oct 18, 2021","434.89","434.44","441.08","432.57","217.66M","0.10%"
"Oct 15, 2021","434.44","432.43","438.73","432.43","173.94M","0.46%"
"Oct 14, 2021","432.43","427.19","433.94","427.19","167.51M","1.23%"
"Oct 13, 2021","427.19","427.60","429.51","420.00","171.54M","-0.10%"
"Oct 12, 2021","427.60","427.71","431.79","425.04","194.73M","-0.03%"
"Oct 11, 2021","427.71","429.46","436.75","427.28","216.17M","-0.41%"
"Oct 08, 2021","429.46","416.45","430.49","416.45","203.84M","3.12%"
"Oct 07, 2021","416.45","413.60","418.70","412.42","210.59M","0.69%"
"Oct 06, 2021","413.60","418.00","418.00","406.49","232.03M","-1.05%"
"Oct 05, 2021","418.00","415.60","425.57","413.70","262.18M","0.58%"
"Oct 04, 2021","415.60","408.94","420.19","408.94","372.00M","1.63%"
"Oct 01, 2021","408.94","395.88","409.45","395.88","206.98M","3.30%"
"Sep 30, 2021","395.88","401.66","402.77","395.88","246.83M","-1.44%"
"Sep 29, 2021","401.66","401.67","403.97","396.36","233.16M","-0.00%"
"Sep 28, 2021","401.67","399.83","408.12","399.83","285.97M","0.46%"
"Sep 27, 2021","399.83","386.57","401.42","386.57","250.83M","3.43%"
"Sep 24, 2021","386.57","383.35","388.38","380.98","159.03M","0.84%"
"Sep 23, 2021","383.35","370.71","384.45","370.71","195.78M","3.41%"
"Sep 22, 2021","370.71","359.34","374.87","359.34","215.99M","3.16%"
"Sep 21, 2021","359.34","358.00","364.09","355.51","164.63M","0.37%"
"Sep 20, 2021","358.00","369.23","369.23","352.30","220.84M","-3.04%"
"Sep 17, 2021","369.23","372.04","375.81","368.29","397.21M","-0.76%"
"Sep 16, 2021","372.04","376.02","376.02","369.88","161.24M","-1.06%"
"Sep 15, 2021","376.02","362.20","376.26","362.20","251.43M","3.82%"
"Sep 14, 2021","362.20","367.90","371.16","360.89","173.39M","-1.55%"
"Sep 13, 2021","367.90","357.39","370.20","357.39","196.11M","2.94%"
"Sep 10, 2021","357.39","357.55","363.61","356.48","131.17M","-0.04%"
"Sep 09, 2021","357.55","357.11","363.15","352.94","160.19M","0.12%"
"Sep 08, 2021","357.11","361.80","365.97","357.00","155.24M","-1.30%"
"Sep 07, 2021","361.80","363.88","366.44","360.31","135.23M","-0.57%"
"Sep 03, 2021","363.88","365.82","367.80","362.16","129.55M","-0.53%"
"Sep 02, 2021","365.82","356.80","368.74","356.80","185.95M","2.53%"
"Sep 01, 2021","356.80","362.26","363.69","355.60","192.07M","-1.51%"
"Aug 31, 2021","362.26","364.92","366.19","361.44","205.85M","-0.73%"
"Aug 30, 2021","364.92","369.21","371.96","364.85","126.30M","-1.16%"
"Aug 27, 2021","369.21","359.77","371.71","359.77","166.01M","2.62%"
"Aug 26, 2021","359.77","365.28","365.28","359.20","130.06M","-1.51%"
"Aug 25, 2021","365.28","362.68","367.21","359.53","135.08M","0.72%"
"Aug 24, 2021","362.68","356.92","364.40","356.92","156.91M","1.61%"
"Aug 23, 2021","356.92","343.95","357.84","343.95","166.91M","3.77%"
"Aug 20, 2021","343.95","342.99","346.05","338.73","168.45M","0.28%"
"Aug 19, 2021","342.99","352.34","352.34","338.39","246.42M","-2.65%"
"Aug 18, 2021","352.34","361.00","362.42","351.94","161.71M","-2.40%"
"Aug 17, 2021","361.00","364.35","366.54","357.65","152.48M","-0.92%"
"Aug 16, 2021","364.35","371.14","371.14","361.56","156.20M","-1.83%"
"Aug 13, 2021","371.14","375.97","375.97","370.69","128.51M","-1.28%"
"Aug 12, 2021","375.97","377.82","378.12","371.67","120.75M","-0.49%"
"Aug 11, 2021","377.82","375.00","378.51","371.89","138.33M","0.75%"
"Aug 10, 2021","375.00","368.66","375.94","368.66","157.81M","1.72%"
"Aug 09, 2021","368.66","374.19","374.19","366.21","147.57M","-1.48%"
"Aug 06, 2021","374.19","370.75","376.69","370.75","137.02M","0.93%"
"Aug 05, 2021","370.75","366.06","374.98","366.06","163.95M","1.28%"
"Aug 04, 2021","366.06","377.11","377.11","365.95","215.49M","-2.93%"
"Aug 03, 2021","377.11","370.33","377.44","365.84","184.66M","1.83%"
"Aug 02, 2021","370.33","372.99","382.50","369.98","180.96M","-0.71%"
"Jul 30, 2021","372.99","379.67","379.96","371.01","190.05M","-1.76%"
"Jul 29, 2021","379.67","376.15","382.26","376.15","144.32M","0.94%"
"Jul 28, 2021","376.15","372.54","379.04","370.48","151.17M","0.97%"
"Jul 27, 2021","372.54","376.34","376.34","368.41","157.80M","-1.01%"
"Jul 26, 2021","376.34","367.17","377.64","367.17","163.27M","2.50%"
"Jul 23, 2021","367.17","368.77","368.77","363.57","156.50M","-0.43%"
"Jul 22, 2021","368.77","372.98","372.98","365.80","148.26M","-1.13%"
"Jul 21, 2021","372.98","360.26","375.89","360.26","209.07M","3.53%"
"Jul 20, 2021","360.26","355.36","363.92","352.91","208.90M","1.38%"
"Jul 19, 2021","355.36","368.60","368.60","350.69","277.61M","-3.59%"
"Jul 16, 2021","368.60","379.08","381.78","367.74","191.99M","-2.76%"
"Jul 15, 2021","379.08","384.51","384.96","377.55","177.06M","-1.41%"
"Jul 14, 2021","384.51","396.15","401.97","383.11","189.84M","-2.94%"
"Jul 13, 2021","396.15","398.98","399.70","393.79","133.39M","-0.71%"
"Jul 12, 2021","398.98","399.42","401.46","392.55","135.94M","-0.11%"
"Jul 09, 2021","399.42","391.55","400.00","391.55","150.32M","2.01%"
"Jul 08, 2021","391.55","393.37","395.12","385.62","168.46M","-0.46%"
"Jul 07, 2021","393.37","400.28","403.26","389.48","177.61M","-1.73%"
"Jul 06, 2021","400.28","413.52","413.52","398.71","202.82M","-3.20%"
"Jul 02, 2021","413.52","414.36","414.95","409.28","127.33M","-0.20%"
"Jul 01, 2021","414.36","407.37","417.85","407.37","197.06M","1.72%"
"Jun 30, 2021","407.37","402.10","408.39","402.10","175.94M","1.31%"
"Jun 29, 2021","402.10","404.13","408.80","401.81","145.88M","-0.50%"
"Jun 28, 2021","404.13","418.03","418.03","402.75","180.34M","-3.33%"
"Jun 25, 2021","418.03","416.07","418.44","414.98","199.07M","0.47%"
"Jun 24, 2021","416.07","412.55","416.47","410.76","141.44M","0.85%"
"Jun 23, 2021","412.55","411.46","419.92","411.46","174.36M","0.26%"
"Jun 22, 2021","411.46","408.73","413.17","403.58","149.28M","0.67%"
"Jun 21, 2021","408.73","391.92","409.40","391.92","194.94M","4.29%"
"Jun 18, 2021","391.92","403.71","403.71","391.77","317.94M","-2.92%"
"Jun 17, 2021","403.71","418.31","420.41","398.60","254.90M","-3.49%"
"Jun 16, 2021","418.31","420.34","422.76","414.42","202.46M","-0.48%"
"Jun 15, 2021","420.34","411.85","421.03","411.85","182.07M","2.06%"
"Jun 14, 2021","411.85","413.47","417.70","408.71","169.68M","-0.39%"
"Jun 11, 2021","413.47","415.02","418.72","413.10","146.62M","-0.37%"
"Jun 10, 2021","415.02","415.56","423.12","410.86","184.82M","-0.13%"
"Jun 09, 2021","415.56","417.89","421.03","415.42","185.48M","-0.56%"
"Jun 08, 2021","417.89","414.25","418.81","408.19","189.84M","0.88%"
"Jun 07, 2021","414.25","415.85","418.44","413.72","137.93M","-0.38%"
"Jun 04, 2021","415.85","413.47","417.76","410.09","172.27M","0.58%"
"Jun 03, 2021","413.47","412.19","415.63","408.17","240.07M","0.31%"
"Jun 02, 2021","412.19","405.14","414.11","402.68","242.15M","1.74%"
"Jun 01, 2021","405.14","389.82","405.73","389.82","277.18M","3.93%"
"May 28, 2021","389.82","389.54","391.44","388.00","148.13M","0.07%"
"May 27, 2021","389.54","389.32","394.19","387.05","274.89M","0.06%"
"May 26, 2021","389.32","385.73","390.50","384.31","182.23M","0.93%"
"May 25, 2021","385.73","393.76","393.76","385.13","198.74M","-2.04%"
"May 24, 2021","393.76","389.91","394.67","388.29","196.04M","0.99%"
"May 21, 2021","389.91","389.17","395.53","389.17","160.17M","0.19%"
"May 20, 2021","389.17","389.63","390.94","383.89","171.68M","-0.12%"
"May 19, 2021","389.63","399.72","399.72","384.66","208.59M","-2.52%"
"May 18, 2021","399.72","410.53","410.81","399.13","209.22M","-2.63%"
"May 17, 2021","410.53","401.29","410.66","399.30","202.54M","2.30%"
"May 14, 2021","401.29","389.01","402.62","389.01","199.86M","3.16%"
"May 13, 2021","389.01","394.33","396.42","384.24","201.36M","-1.35%"
"May 12, 2021","394.33","394.09","405.98","392.69","244.47M","0.06%"
"May 11, 2021","394.09","404.45","404.45","390.97","232.71M","-2.56%"
"May 10, 2021","404.45","404.65","415.73","404.34","223.17M","-0.05%"
"May 07, 2021","404.65","397.15","405.02","392.03","220.45M","1.89%"
"May 06, 2021","397.15","395.24","397.23","387.87","198.29M","0.48%"
"May 05, 2021","395.24","382.51","396.35","382.51","175.88M","3.33%"
"May 04, 2021","382.51","382.43","385.66","378.34","207.32M","0.02%"
"May 03, 2021","382.43","371.60","383.19","371.60","218.80M","2.91%"
"Apr 30, 2021","371.60","381.98","381.98","371.27","202.60M","-2.72%"
"Apr 29, 2021","381.98","377.80","386.60","377.46","196.57M","1.11%"
"Apr 28, 2021","377.80","365.57","379.38","365.57","214.20M","3.35%"
"Apr 27, 2021","365.57","361.03","366.81","360.98","168.08M","1.26%"
"Apr 26, 2021","361.03","358.74","363.71","358.20","149.83M","0.64%"
"Apr 23, 2021","358.74","355.42","360.25","353.97","152.42M","0.93%"
